time,u1,u2,u3,y,z,phi,beta
5.64,6.753801958558131,-15.0,-0.5438865901708937,4.6053553,5.2982564,-0.052743386,0.29641402
5.66,6.734131578840296,-0.6708205367868132,-0.48471635601775537,4.6371803,5.2984505,-0.12854648,0.29631686
5.68,6.686844706471059,15.0,-0.47335332708716327,4.668821,5.2989116,-0.20484585,0.29750037
5.7,6.615806599844228,15.0,-0.5058488040041399,4.699966,5.2995644,-0.23988295,0.29973543
5.72,6.560592898914106,10.942308658170042,-0.5334636301345419,4.7302814,5.3001904,-0.23357111,0.30146646
5.74,6.555873228751104,-15.0,-0.5132967927632377,4.7596083,5.3006344,-0.19665723,0.30155367
5.76,6.588382950613256,-15.0,-0.4555443166404822,4.7879863,5.3009453,-0.19837455,0.30057138
5.78,6.610625993418022,-14.688520487088716,-0.4127834557639103,4.815603,5.3013277,-0.23887709,0.30042818
5.8,6.585185829894132,15.0,-0.42886144274758964,4.8424783,5.30189,-0.31744826,0.30232635
5.82,6.533386983004846,15.0,-0.48499781230144995,4.868438,5.302518,-0.3548758,0.30547622
5.84,6.507302082731835,15.0,-0.51985805581482,4.8931327,5.3029118,-0.35101002,0.30759153
5.86,6.552132085269298,-4.150438958578924,-0.4839757507405865,4.916393,5.302899,-0.30575794,0.3073152
5.88,6.639927223866787,-15.0,-0.4025156931744093,4.9382496,5.3025966,-0.2702831,0.30572012
5.9,6.70299911294084,-15.0,-0.35052616710117657,4.958929,5.302337,-0.2737349,0.30559078
5.92,6.689195791464746,-0.059469245145045146,-0.38492806860436346,4.9786043,5.302346,-0.31625193,0.30877715
5.94,6.621329758776333,15.0,-0.48138973478509095,4.99724,5.302532,-0.3579011,0.31428942
5.96,6.573147795067616,15.0,-0.5527411392963356,5.0146055,5.3025537,-0.35826653,0.3189825
5.98,6.604892337534092,7.256545843407331,-0.528038616274358,5.0304875,5.302131,-0.317158,0.3203986
6.0,6.704502473610434,-15.0,-0.4229875554749857,5.0448937,5.3013377,-0.2552906,0.31921855
6.0200000000000005,6.790255738859046,-15.0,-0.3331142493411235,5.05805,5.300557,-0.23229522,0.31884858
6.04,6.787521199032645,-15.0,-0.3469958859469975,5.070269,5.3001633,-0.24841152,0.32244775
6.0600000000000005,6.695645504333991,15.0,-0.46353902351705384,5.081639,5.3001623,-0.3036025,0.3298267
6.08,6.599239778201542,15.0,-0.5819174680222423,5.092019,5.300203,-0.31755736,0.33747637
6.1000000000000005,6.583439783035293,15.0,-0.5955238098285962,5.1011047,5.2998543,-0.28996047,0.34145728
6.12,6.669882479889299,-10.719337381528057,-0.48357270869793395,5.1088233,5.299045,-0.22077551,0.34117505
6.140000000000001,6.77645058262905,-15.0,-0.34523152509510313,5.115359,5.29813,-0.17888592,0.34004703
6.16,6.80216979742188,-15.0,-0.30769051780361706,5.121097,5.297605,-0.17607571,0.3426368
6.18,6.71061129714081,1.8714728727463457,-0.41446759743618933,5.126244,5.2976317,-0.21244499,0.3503592
6.2,6.577468554250877,15.0,-0.5739353405946758,5.1307387,5.297911,-0.24271843,0.36013016
6.22,6.5111791689763585,15.0,-0.6449607407280497,5.1343145,5.2979436,-0.23146138,0.3670071
6.24,6.561926214696355,3.3326315208650716,-0.5619085294984223,5.1367865,5.2974777,-0.17848442,0.36860222
6.26,6.674489812587369,-15.0,-0.39664933628322446,5.138256,5.2967434,-0.115122035,0.36730695
6.28,6.736256543284728,-15.0,-0.297348484283967,5.1390734,5.2962537,-0.090701915,0.36825323
6.3,6.677939858482666,-15.0,-0.3564880079708199,5.139588,5.2963433,-0.10548886,0.3747524
6.32,6.5379562502279684,14.772351872670662,-0.5260767625495841,5.1398587,5.2968636,-0.15932517,0.3852404
6.34,6.428824948489647,15.0,-0.6567288442525971,5.1396875,5.297326,-0.17236567,0.39467415
6.36,6.432591265910286,15.0,-0.6339911013017168,5.138736,5.2973084,-0.14365488,0.39881572
6.38,6.537446013073418,-11.325244594161667,-0.4735467573484731,5.1369586,5.296843,-0.07325347,0.39811653
6.4,6.638377920965645,-15.0,-0.31698268102395044,5.1346097,5.2963805,-0.031789914,0.3973357
6.42,6.635520629117246,-15.0,-0.30305264995468617,5.132125,5.296398,-0.029481068,0.4014526
6.44,6.518946113809924,-1.588380673696555,-0.4483255970695479,5.129694,5.296953,-0.06636408,0.41111907
6.46,6.384939495522044,15.0,-0.6242849084435607,5.1271973,5.297646,-0.10628724,0.42213055
6.48,6.34185655572962,15.0,-0.6768322848710936,5.1243176,5.2979746,-0.10454564,0.42912516
6.5,6.4172794957542605,9.004182227363309,-0.5605284867863095,5.12083,5.297759,-0.06099916,0.43023044
6.5200000000000005,6.5384031568132155,-15.0,-0.3763155253958119,5.116844,5.2972994,0.00805321,0.42871937
6.54,6.592389615432806,-15.0,-0.2851062206083208,5.112719,5.2971077,0.038109094,0.43015134
6.5600000000000005,6.526321916565745,-15.0,-0.3666153368945294,5.108836,5.297458,0.028925266,0.43758386
6.58,6.392822404891233,3.3620063427951763,-0.5519055118828914,5.1052423,5.2981386,-0.019280918,0.44883105
6.6000000000000005,6.305571948593463,15.0,-0.6793070510447734,5.1017137,5.298653,-0.057050005,0.45847693
6.62,6.333829814278501,15.0,-0.6410885358725437,5.0979133,5.298648,-0.053007614,0.46250987
6.640000000000001,6.447674922504909,5.422252172080299,-0.47136319043122005,5.0937147,5.2981973,-0.0072556585,0.46170282
6.66,6.547914301955122,-15.0,-0.315214007263114,5.0893083,5.2977366,0.054212607,0.46089828
6.68,6.547980200965404,-15.0,-0.30441902265142695,5.085052,5.2976923,0.07652145,0.46487167
6.7,6.4465848931595495,-15.0,-0.446519305832187,5.081217,5.2981095,0.059642076,0.47431183
6.72,6.331104244615398,7.168699144269304,-0.620301491682738,5.0777445,5.298619,0.0039534234,0.48524573
6.74,6.299993966124002,15.0,-0.6779618856959694,5.0743713,5.2987704,-0.03096456,0.49255392
6.76,6.375260632333327,15.0,-0.5748776280737301,5.0707946,5.2984037,-0.024074653,0.4941876
6.78,6.491635063713863,1.2073495870281126,-0.3990724551823499,5.0669785,5.2977633,0.024348253,0.49280658
6.8,6.553847906028367,-15.0,-0.29712526737047895,5.0631485,5.2972946,0.077054955,0.4934615
6.82,6.5121467948355525,-15.0,-0.3508704171025247,5.0596256,5.297276,0.090553984,0.49940178
6.84,6.402759481195807,-15.0,-0.512768905320002,5.0565724,5.2975802,0.06498867,0.50941235
6.86,6.320137949965409,13.876132603065308,-0.6464643377633696,5.053858,5.297795,0.00079075247,0.51890576
6.88,6.3332105148234215,15.0,-0.6416085262262885,5.0512133,5.2975826,-0.024680242,0.5238599
6.9,6.427296666052639,15.0,-0.5071247556767128,5.0483704,5.29694,-0.008440284,0.5239402
6.92,6.525673921351302,-8.348830676201068,-0.35297031134416235,5.045378,5.2961874,0.049152,0.5227638
6.94,6.551026107077468,-15.0,-0.30493640607064326,5.0424895,5.2957144,0.085421994,0.5248391
6.96,6.484571750371698,-15.0,-0.39878115450381696,5.0400076,5.295661,0.08250515,0.5319466
6.98,6.38251936887389,-6.74544815512494,-0.5562290426204561,5.037974,5.295796,0.040651735,0.54162216
7.0,6.332237671344522,15.0,-0.6450179196652868,5.036182,5.295726,-0.017706264,0.54930973
7.0200000000000005,6.374174221326112,15.0,-0.5932804368977048,5.034341,5.295226,-0.034344222,0.5521498
7.04,6.47123614299342,15.0,-0.4461962682038816,5.032263,5.2944007,-0.009400103,0.5511438
7.0600000000000005,6.546946125485915,-15.0,-0.32160355577354527,5.030058,5.293596,0.056733873,0.5503222
7.08,6.542783973239809,-15.0,-0.3184282559045729,5.0279884,5.293128,0.08372546,0.55342823
7.1000000000000005,6.46305156812489,-15.0,-0.4355536984353136,5.0263433,5.29303,0.071566194,0.56104386
7.12,6.372935684156585,1.1854387247876375,-0.5792998956506206,5.0250897,5.293015,0.020568404,0.5699865
7.140000000000001,6.348050556974466,15.0,-0.6303727242963842,5.023989,5.292731,-0.025723416,0.5760302
7.16,6.406561866942774,15.0,-0.5490178651141038,5.022754,5.2920413,-0.030334245,0.57730395
7.18,6.499584573301467,9.215597758244222,-0.4021489934459941,5.0212884,5.2911196,0.006518971,0.57571733
